time	I1	I2	I3		
0.0025339185	-1.147491	0.3199163	0.7752441		
0.0025988908	-1.111884	0.3231533	0.8184031		
0.0026638631	-1.105411	0.288626	0.8216401		
0.0027288353	-1.078436	0.2735204	0.8496934		
0.0027938076	-1.069805	0.2357562	0.8491539		
0.0028587799	-1.071962	0.1855838	0.8362062		
0.0029237522	-1.029882	0.1834259	0.8750493		
0.0029887244	-1.022869	0.1418853	0.868036		
0.0030536967	-0.9867234	0.134872	0.8987868		
0.0031186690	-0.9791705	0.09818679	0.8960894		
0.0031836412	-0.9753941	0.05556725	0.8885366		
0.0032486135	-0.9424854	0.04693545	0.9192873		
0.0033135858	-0.9327745	0.01078976	0.9273797		
0.0033785580	-0.9058002	-0.002697439	0.9538146		
0.0034435303	-0.9009448	-0.04154057	0.9548936		
0.0035085026	-0.890155	-0.07390984	0.9629859		
0.0035734749	-0.8696544	-0.09387089	0.9840259		
0.0036384471	-0.866957	-0.134872	0.981868		
0.0037034194	-0.8329693	-0.1413458	1.013158		
0.0037683917	-0.824877	-0.1801889	1.012619		
0.0038333639	-0.8022184	-0.2060844	1.028264		
0.0038983362	-0.7854943	-0.2389931	1.039593		
0.0039633085	-0.7881918	-0.2934814	1.025027		
0.0040282807	-0.7444933	-0.2977973	1.068725		
0.0040932530	-0.734243	-0.3404168	1.075199		
0.0041582253	-0.7045712	-0.3598384	1.101095		
0.0042231976	-0.6959394	-0.4029975	1.107029		
0.0042881698	-0.6840706	-0.4396826	1.11674		
0.0043531421	-0.6597937	-0.4644991	1.142635		
0.0044181144	-0.6565568	-0.5103555	1.145333		
0.0044830866	-0.6268849	-0.5238428	1.17932		
0.0045480589	-0.623648	-0.5648438	1.183097		
0.0046130312	-0.60045	-0.5777915	1.218164		
0.0046780034	-0.5982921	-0.6150162	1.22194		
0.0047429757	-0.599371	-0.6549383	1.220322		
0.0048079480	-0.5702386	-0.6624911	1.25323		
0.0048729203	-0.5670018	-0.6991763	1.25323		
0.0049378925	-0.5319351	-0.7018737	1.278586		
0.0050028648	-0.5211453	-0.7347825	1.258625		
0.0050678371	-0.5011842	-0.7542041	1.245138		
0.0051328093	-0.4698939	-0.759599	1.244059		
0.0051977816	-0.4569462	-0.7854943	1.220861		
0.0052627539	-0.4121687	-0.7757835	1.229493		
0.0053277261	-0.3997605	-0.7989816	1.201979		
0.0053926984	-0.3824969	-0.8205611	1.1804		
0.0054576707	-0.3431143	-0.8178636	1.1804		
0.0055226430	-0.3236927	-0.8394431	1.149109		
0.0055876152	-0.2789152	-0.8308113	1.147491		
0.0056525875	-0.2594937	-0.8523908	1.118898		
0.0057175598	-0.245467	-0.8788258	1.083292		
0.0057825320	-0.1974526	-0.865878	1.08545		
0.0058475043	-0.1774915	-0.8815233	1.058475		
0.0059124766	-0.1397274	-0.8745098	1.052541		
0.0059774488	-0.1235427	-0.8944709	1.023948		
0.0060424211	-0.1181478	-0.9236032	0.9845654		
0.0061073934	-0.06743599	-0.9063396	0.9991316		
0.0061723657	-0.05017237	-0.9284586	0.9726967		
0.0062373379	-0.01510566	-0.9300771	0.9694597		
0.0063023102	0.008631806	-0.9473407	0.9511171		
0.0063672825	0.01726361	-0.980789	0.912274		
0.0064322547	0.06635701	-0.9656833	0.9263007		
0.0064972270	0.08469959	-0.9888813	0.8987868		
0.0065621993	0.1273191	-0.9829469	0.8960894		
0.0066271715	0.1467407	-1.003448	0.8647991		
0.0066921438	0.1607674	-1.031501	0.823798		
0.0067571161	0.2130977	-1.018553	0.8264955		
0.0068220884	0.2389931	-1.035817	0.7984421		
0.0068870606	0.2837706	-1.033119	0.7914287		
0.0069520329	0.3069686	-1.058475	0.7579805		
0.0070170052	0.3280087	-1.08491	0.7234533		
0.0070819774	0.3776415	-1.081673	0.7234533		
0.0071469497	0.4003	-1.108648	0.6927025		
0.0072119220	0.4493934	-1.105411	0.6948604		
0.0072768942	0.4704334	-1.132385	0.666807		
0.0073418665	0.4925524	-1.155044	0.6468459		
0.0074068388	0.5308561	-1.15828	0.6425301		
0.0074718111	0.5454223	-1.181479	0.6112397		
0.0075367833	0.5869628	-1.166912	0.6155557		
0.0076017556	0.5972131	-1.178241	0.5826469		
0.0076667279	0.6144767	-1.173386	0.5529751		
0.0077317001	0.6409116	-1.159359	0.5319351		
0.0077966724	0.6484644	-1.165294	0.4947104		
0.0078616447	0.6824521	-1.137241	0.488776		
0.0079266169	0.6878471	-1.139938	0.4526303		
0.0079915892	0.6997158	-1.132925	0.4283534		
0.0080565615	0.7180583	-1.115661	0.4116293		
0.0081215338	0.7180583	-1.11674	0.3749441		
0.0081865060	0.7477302	-1.083292	0.3695492		
0.0082514783	0.7498882	-1.077897	0.3307061		
0.0083164506	0.7547436	-1.066568	0.2956394		
0.0083814228	0.7757835	-1.035817	0.2756783		
0.0084463951	0.77956	-1.02233	0.2368352		
0.0085113674	0.8027579	-0.9904997	0.2228085		
0.0085763396	0.801679	-0.9824075	0.1818074		
0.0086413119	0.7989816	-0.9775521	0.1364904		
0.0087062842	0.8264955	-0.9381694	0.1283981		
0.0087712565	0.822719	-0.933314	0.08577857		
0.0088362287	0.8518513	-0.8928525	0.08308113		
0.0089012010	0.8513119	-0.8879971	0.04154057		
0.0089661733	0.8426801	-0.8939314	-0.01186873		
0.0090311455	0.8799047	-0.848075	-0.007552831		
0.0090961178	0.8842207	-0.8410616	-0.04639596		
0.0091610901	0.9009448	-0.8189426	-0.07175189		
0.0092260623	0.9160504	-0.8027579	-0.1019632		
0.0092910346	0.9187478	-0.7984421	-0.1445827		
0.0093560069	0.9473407	-0.7633753	-0.1542935		
0.0094209792	0.9521961	-0.7558225	-0.1952946		
0.0094859514	0.9602885	-0.7428748	-0.2325193		
0.0095509237	0.981868	-0.7126635	-0.2546383		
0.0096158960	0.9888813	-0.6991763	-0.2945604		
0.0096808682	1.015316	-0.665728	-0.312903		
0.0097458405	1.018014	-0.6587147	-0.3576804		
0.0098108128	1.029882	-0.6425301	-0.3949051		
0.0098757850	1.052001	-0.6171741	-0.42134		
0.0099407573	1.060094	-0.6096213	-0.4661175		
0.0100057296	1.092463	-0.5777915	-0.4849996		
0.0100707019	1.102174	-0.5745546	-0.5286981		
0.0101356741	1.124832	-0.5567515	-0.5545936		
0.0102006464	1.141017	-0.5454223	-0.5848049		
0.0102656187	1.135622	-0.5583699	-0.6398326		
0.0103305909	1.171768	-0.5157504	-0.6355167		
0.0103955632	1.171228	-0.5098161	-0.667886		
0.0104605355	1.185255	-0.4731309	-0.6716624		
0.0105255077	1.16961	-0.4596437	-0.7034922		
0.0105904800	1.146951	-0.4542488	-0.7428748		
0.0106554523	1.161517	-0.4062344	-0.7337036		
0.0107204246	1.141556	-0.3959841	-0.7649938		
0.0107853968	1.150728	-0.3512066	-0.7579805		
0.0108503691	1.129688	-0.3404168	-0.7833364		
0.0109153414	1.105411	-0.335022	-0.8113898		
0.0109803136	1.110266	-0.2891655	-0.7995211		
0.0110452859	1.087068	-0.2713624	-0.8200216		
0.0111102582	1.081673	-0.2309008	-0.8178636		
0.0111752304	1.054699	-0.2120187	-0.8383642		
0.0112402027	1.023409	-0.1958341	-0.8626411		
0.0113051750	1.020172	-0.1494381	-0.8561673		
0.0113701473	0.9958946	-0.1289376	-0.8728914		
0.0114351195	0.9926577	-0.08577857	-0.865878		
0.0115000918	0.9640649	-0.07067291	-0.8896155		
0.0115650641	0.9419459	-0.04963289	-0.9047212		
