time	I1	I2	I3	
0.0149445496	0.3717072	0.4947104	-0.8728914	
0.0150095259	0.3382589	0.4936314	-0.8372852	
0.0150745022	0.3042712	0.4941709	-0.8027579	
0.0151394785	0.268665	0.4936314	-0.7676913	
0.0152044548	0.2309008	0.4952499	-0.7320851	
0.0152694311	0.1915182	0.4974078	-0.6970183	
0.0153344074	0.1505171	0.5011842	-0.6581752	
0.0153993837	0.1078976	0.5060396	-0.6214901	
0.0154643600	0.06473855	0.5103555	-0.5842654	
0.0155293363	0.022119	0.5168294	-0.5486592	
0.0155943126	-0.01834259	0.5238428	-0.5135925	
0.0156592889	-0.05664623	0.5324746	-0.4806837	
0.0157242652	-0.09387089	0.5362509	-0.446696	
0.0157892415	-0.1321745	0.53733	-0.4116293	
0.0158542178	-0.1672412	0.5367904	-0.3744046	
0.0159191941	-0.2033869	0.5297771	-0.332864	
0.0159841704	-0.2389931	0.5189874	-0.2859286	
0.0160491467	-0.2745993	0.5065791	-0.2389931	
0.0161141230	-0.310745	0.4925524	-0.1888208	
0.0161790993	-0.3474302	0.4774468	-0.1391879	
0.0162440756	-0.3841154	0.4634201	-0.08847601	
0.0163090519	-0.4191821	0.4483144	-0.03722467	
0.0163740282	-0.4547883	0.4332088	0.01456617	
0.0164390045	-0.488776	0.4159452	0.06473855	
0.0165039808	-0.5243822	0.3992211	0.1154504	
0.0165689571	-0.5567515	0.380339	0.1693992	
0.0166339334	-0.5918182	0.3609174	0.222269	
0.0166989097	-0.6241875	0.3420353	0.2745993	
0.0167638860	-0.6549383	0.3231533	0.3263902	
0.0168288623	-0.6867681	0.3048107	0.3744046	
0.0168938387	-0.7180583	0.288626	0.4202611	
0.0169588150	-0.7482697	0.2719019	0.467736	
0.0170237913	-0.778481	0.2573357	0.5152109	
0.0170887676	-0.8092318	0.2438485	0.5605279	
0.0171537439	-0.8405221	0.2260454	0.6063844	
0.0172187202	-0.8718125	0.2136372	0.6527804	
0.0172836965	-0.9036422	0.2006895	0.6970183	
0.0173486728	-0.936551	0.1877418	0.7417958	
0.0174136491	-0.9689202	0.1742546	0.7854943	
0.0174786254	-0.999671	0.1607674	0.8308113	
0.0175436017	-1.031501	0.1494381	0.8739703	
0.0176085780	-1.059554	0.1343325	0.9171294	
0.0176735543	-1.089766	0.1230032	0.9592095	
0.0177385306	-1.118358	0.1089766	1.002908	
0.0178035069	-1.14857	0.09710782	1.044988	
0.0178684832	-1.17986	0.08416011	1.088147	
0.0179334595	-1.212229	0.07229137	1.132925	
0.0179984358	-1.245138	0.05880418	1.17932	
0.0180634121	-1.278047	0.04585647	1.224638	
0.0181283884	-1.310416	0.03344825	1.269415	
0.0181933647	-1.342246	0.022119	1.315271	
0.0182583410	-1.375694	0.01132924	1.358431	
0.0183233173	-1.408063	0.000539488	1.40105	
0.0183882936	-1.440433	-0.01025027	1.44313	
0.0184532699	-1.470644	-0.01996105	1.481973	
0.0185182462	-1.498697	-0.02697439	1.517579	
0.0185832225	-1.52729	-0.03452722	1.551567	
0.0186481988	-1.553186	-0.04208006	1.585015	
0.0187131751	-1.575844	-0.05233033	1.617924	
0.0187781514	-1.594187	-0.06797548	1.648135	
0.0188431277	-1.605516	-0.08577857	1.677807	
0.0189081040	-1.614148	-0.1030422	1.704782	
0.0189730803	-1.620622	-0.1186873	1.72798	
0.0190380566	-1.626016	-0.135951	1.74902	
0.0191030329	-1.626016	-0.1488987	1.766823	
0.0191680092	-1.627095	-0.1645438	1.782468	
0.0192329855	-1.62278	-0.1796495	1.793797	
0.0192979618	-1.614687	-0.1936761	1.799732	
0.0193629381	-1.604437	-0.2104003	1.806745	
0.0194279145	-1.595805	-0.2282034	1.814837	
0.0194928908	-1.585015	-0.244388	1.82239	
0.0195578671	-1.576384	-0.2578752	1.830482	
0.0196228434	-1.56937	-0.2713624	1.838035	
0.0196878197	-1.564515	-0.2843101	1.844509	
0.0197527960	-1.55912	-0.2945604	1.849904	
0.0198177723	-1.554804	-0.3026527	1.85422	
0.0198827486	-1.547251	-0.3123635	1.855838	
0.0199477249	-1.539159	-0.3220743	1.856378	
0.0200127012	-1.52729	-0.332864	1.855299	
0.0200776775	-1.514342	-0.3447328	1.853141	
0.0201426538	-1.501395	-0.3533646	1.850443	
0.0202076301	-1.489526	-0.3625358	1.848825	
0.0202726064	-1.478736	-0.3711677	1.848285	
0.0203375827	-1.469565	-0.3808784	1.848825	
0.0204025590	-1.462552	-0.3916682	1.849904	
0.0204675353	-1.454459	-0.4019185	1.85368	
0.0205325116	-1.444749	-0.4121687	1.855299	
0.0205974879	-1.436656	-0.4197216	1.855838	
0.0206624642	-1.426945	-0.4299718	1.855299	
0.0207274405	-1.414537	-0.4413011	1.855299	
0.0207924168	-1.399971	-0.4537093	1.854759	
0.0208573931	-1.381629	-0.4661175	1.851522	
0.0209223694	-1.364904	-0.4790652	1.846667	
0.0209873457	-1.350878	-0.4920129	1.841812	
0.0210523220	-1.336311	-0.5038817	1.839654	
0.0211172983	-1.322285	-0.5125135	1.838035	
0.0211822746	-1.311495	-0.5227637	1.836417	
0.0212472509	-1.307179	-0.5297771	1.839654	
0.0213122272	-1.299626	-0.5378695	1.839114	
0.0213772035	-1.292613	-0.5421853	1.836417	
0.0214421798	-1.282363	-0.5432643	1.829943	
0.0215071561	-1.267797	-0.5459617	1.819153	
0.0215721324	-1.246217	-0.5486592	1.802429	
0.0216371087	-1.217624	-0.5529751	1.774376	
0.0217020850	-1.184715	-0.5513566	1.744164	
0.0217670613	-1.150728	-0.5535145	1.711795	
0.0218320376	-1.119977	-0.5513566	1.680505	
0.0218970139	-1.092463	-0.5497382	1.647596	
0.0219619902	-1.063331	-0.5448828	1.616845	
0.0220269666	-1.034738	-0.5421853	1.583397	
0.0220919429	-1.003448	-0.5378695	1.54887	
0.0221569192	-0.9721572	-0.5308561	1.511106	
0.0222218955	-0.9387089	-0.5254612	1.471183	
0.0222868718	-0.9036422	-0.5211453	1.431261	
0.0223518481	-0.8664175	-0.5189874	1.39026	
0.0224168244	-0.8264955	-0.5157504	1.34872	
0.0224818007	-0.7865733	-0.5125135	1.3061	
0.0225467770	-0.7477302	-0.5103555	1.266718	
0.0226117533	-0.712124	-0.5081976	1.227874	
0.0226767296	-0.6781363	-0.5071186	1.19065	
0.0227417059	-0.6468459	-0.5060396	1.153965	
0.0228066822	-0.6144767	-0.5038817	1.122674	
0.0228716585	-0.5826469	-0.4995658	1.090305	
0.0229366348	-0.5513566	-0.4968683	1.056317	
0.0230016111	-0.5200663	-0.4947104	1.02233	
0.0230665874	-0.4893155	-0.4936314	0.9888813	
0.0231315637	-0.4547883	-0.4930919	0.9527355	
0.0231965400	-0.4197216	-0.4903945	0.9182084	
0.0232615163	-0.3835759	-0.490934	0.8809837	
0.0233264926	-0.3479697	-0.490934	0.8453775	
0.0233914689	-0.3123635	-0.490934	0.8097714	
0.0234564452	-0.2740598	-0.4914735	0.7720072	
0.0235214215	-0.2341378	-0.4930919	0.7358615	
0.0235863978	-0.1963736	-0.4952499	0.7002553	
0.0236513741	-0.155912	-0.4990263	0.6646491	
0.0237163504	-0.1143714	-0.5033422	0.6279639	
0.0237813267	-0.07390984	-0.5071186	0.5901998	
0.0238463030	-0.03344825	-0.5114345	0.5545936	
0.0239112793	0.005394879	-0.5173689	0.5211453	
0.0239762556	0.0447775	-0.5238428	0.488776	
0.0240412319	0.08200216	-0.5292376	0.4569462	
0.0241062082	0.1203058	-0.5346325	0.4240375	
0.0241711845	0.1553725	-0.5346325	0.3895102	
0.0242361608	0.1898997	-0.5303166	0.3512066	
0.0243011371	0.2228085	-0.5195268	0.3064291	
0.0243661134	0.2578752	-0.5065791	0.2584147	
0.0244310897	0.2918629	-0.490934	0.2071633	
0.0244960660	0.3263902	-0.4742099	0.1553725	
0.0245610423	0.3614569	-0.4564067	0.1019632	
0.0246260187	0.3965236	-0.4386037	0.05233033	
0.0246909950	0.4321298	-0.4229585	0.002157951	
0.0247559713	0.467736	-0.4078529	-0.04801442	
0.0248209476	0.5006447	-0.3911287	-0.09926578	
0.0248859239	0.534093	-0.3744046	-0.1505171	
0.0249509002	0.5680808	-0.3576804	-0.201229	
0.0250158765	0.6009895	-0.3393379	-0.2530198	
0.0250808528	0.6333588	-0.3220743	-0.3042712	
0.0251458291	0.667886	-0.3048107	-0.3522856	
0.0252108054	0.7002553	-0.2880865	-0.402458	
0.0252757817	0.7347825	-0.2745993	-0.4504724	
0.0253407580	0.7676913	-0.2594937	-0.4990263	
0.0254057343	0.801679	-0.2449275	-0.5470407	
0.0254707106	0.8351272	-0.2314403	-0.5950551	
0.0255356869	0.8653386	-0.2168741	-0.6398326	
0.0256006632	0.8960894	-0.2039264	-0.6829916	
0.0256656395	0.9252217	-0.1925972	-0.7250717	
0.0257306158	0.9559726	-0.1796495	-0.7671518	
0.0257955921	0.9861839	-0.1677807	-0.8097714	
0.0258605684	1.019093	-0.1542935	-0.8534698	
0.0259255447	1.050383	-0.1413458	-0.8971683	
0.0259905210	1.082213	-0.1283981	-0.9414063	
0.0260554973	1.114043	-0.1149109	-0.9867234	
0.0261204736	1.147491	-0.1030422	-1.03258	
0.0261854499	1.178241	-0.09225243	-1.078976	
0.0262504262	1.21115	-0.07930472	-1.124293	
0.0263154025	1.244059	-0.06473855	-1.16907	
0.0263803788	1.275889	-0.05125135	-1.213308	
0.0264453551	1.3061	-0.03830364	-1.256467	
0.0265103314	1.336851	-0.02805337	-1.297468	
0.0265753077	1.367062	-0.01672412	-1.339548	
0.0266402840	1.399971	-0.005934367	-1.383247	
0.0267052603	1.43234	0.003776415	-1.427485	
0.0267702366	1.466868	0.01132924	-1.467947	
0.0268352129	1.499776	0.01996105	-1.508408	
0.0269001892	1.531067	0.02751388	-1.547251	
0.0269651655	1.559659	0.03506671	-1.581778	
0.0270301418	1.581778	0.044238	-1.616306	
0.0270951181	1.598503	0.05826469	-1.644359	
0.0271600944	1.607674	0.07606779	-1.670254	
0.0272250708	1.61145	0.0933314	-1.692374	
0.0272900471	1.609832	0.1122135	-1.710177	
0.0273550234	1.610371	0.1294771	-1.725822	
0.0274199997	1.609832	0.1462012	-1.742006	
0.0274849760	1.610911	0.1602279	-1.75873	
0.0275499523	1.61199	0.1737151	-1.773836	
0.0276149286	1.61199	0.1882813	-1.787863	
0.0276799049	1.61145	0.2023079	-1.802429	
